data,db_index,unique,trial_num,ascending_time,descending_time,condition_time
asc,1,True,0,0.5356190204620361,0.16844916343688965,0.31337571144104004
desc,1,True,0,0.19583582878112793,0.38982367515563965,0.32558465003967285
desc,1,False,0,0.1891460418701172,0.38934803009033203,0.09623527526855469
asc,-1,True,0,0.38178300857543945,0.3935058116912842,0.09659910202026367
asc,1,False,0,0.3881194591522217,0.39313721656799316,0.1002354621887207
desc,-1,False,0,0.3959798812866211,0.4024927616119385,0.09558558464050293
desc,-1,True,0,0.39205217361450195,0.40729784965515137,0.09587240219116211
asc,-1,False,0,0.3948800563812256,0.4044492244720459,0.0972135066986084
no_index,no_index,no_index,49,0.39131975173950195,0.40821170806884766,0.09145283699035645
asc,1,True,1,0.40716075897216797,0.4195399284362793,0.09682607650756836
desc,1,True,1,0.42234230041503906,0.1971280574798584,0.3256380558013916
desc,1,False,1,0.19309282302856445,0.38480257987976074,0.323211669921875
asc,-1,True,1,0.1909947395324707,0.398953914642334,0.09514546394348145
asc,1,False,1,0.38448643684387207,0.383864164352417,0.09332156181335449
desc,-1,False,1,0.39311933517456055,0.3991689682006836,0.0936579704284668
desc,-1,True,1,0.39691638946533203,0.4131784439086914,0.09640884399414062
asc,-1,False,1,0.3958756923675537,0.40839719772338867,0.0969545841217041
no_index,no_index,no_index,49,0.3957507610321045,0.4145057201385498,0.09028959274291992
asc,1,True,2,0.4180912971496582,0.19381999969482422,0.3228013515472412
desc,1,True,2,0.20105934143066406,0.39945340156555176,0.33476781845092773
desc,1,False,2,0.18748784065246582,0.39391064643859863,0.09559893608093262
asc,-1,True,2,0.3893558979034424,0.40126943588256836,0.09477734565734863
asc,1,False,2,0.3870527744293213,0.40265941619873047,0.09118390083312988
desc,-1,False,2,0.3862617015838623,0.3968827724456787,0.09337973594665527
desc,-1,True,2,0.4076824188232422,0.4138453006744385,0.09290456771850586
asc,-1,False,2,0.3980395793914795,0.4155893325805664,0.09478640556335449
no_index,no_index,no_index,49,0.4041893482208252,0.1811201572418213,0.30867552757263184
asc,1,True,3,0.43241143226623535,0.1933889389038086,0.3201737403869629
desc,1,True,3,0.1979677677154541,0.4073905944824219,0.09804010391235352
desc,1,False,3,0.3969416618347168,0.3913862705230713,0.09348344802856445
asc,-1,True,3,0.3874356746673584,0.3993074893951416,0.09596633911132812
asc,1,False,3,0.3867452144622803,0.40229058265686035,0.09220719337463379
desc,-1,False,3,0.3941347599029541,0.39847350120544434,0.09319424629211426
desc,-1,True,3,0.4005148410797119,0.41185879707336426,0.09631800651550293
asc,-1,False,3,0.40636134147644043,0.4204282760620117,0.09470748901367188
no_index,no_index,no_index,49,0.40030956268310547,0.1793200969696045,0.30291128158569336
asc,1,True,4,0.4261646270751953,0.19234275817871094,0.3251953125
desc,1,True,4,0.19738364219665527,0.40386033058166504,0.09826922416687012
desc,1,False,4,0.3826742172241211,0.39251065254211426,0.09174537658691406
asc,-1,True,4,0.386019229888916,0.40701842308044434,0.09340095520019531
asc,1,False,4,0.38768720626831055,0.40436553955078125,0.09129214286804199
desc,-1,False,4,0.39508700370788574,0.3983726501464844,0.09002828598022461
desc,-1,True,4,0.39653563499450684,0.41077089309692383,0.09287214279174805
asc,-1,False,4,0.40082597732543945,0.4139595031738281,0.09192848205566406
no_index,no_index,no_index,49,0.40100598335266113,0.1789112091064453,0.3087806701660156
asc,1,True,5,0.43157100677490234,0.19383645057678223,0.32190561294555664
desc,1,True,5,0.19549989700317383,0.4063429832458496,0.09740042686462402
desc,1,False,5,0.3788726329803467,0.39818811416625977,0.09240245819091797
asc,-1,True,5,0.3871636390686035,0.4008021354675293,0.09331107139587402
asc,1,False,5,0.3841116428375244,0.390519380569458,0.09356117248535156
desc,-1,False,5,0.3952643871307373,0.40680932998657227,0.09164547920227051
desc,-1,True,5,0.4040720462799072,0.41324377059936523,0.09350466728210449
asc,-1,False,5,0.406435489654541,0.41214942932128906,0.09292960166931152
no_index,no_index,no_index,49,0.4009263515472412,0.1752309799194336,0.3091282844543457
asc,1,True,6,0.432405948638916,0.19098663330078125,0.32631707191467285
desc,1,True,6,0.1951007843017578,0.39617109298706055,0.0984499454498291
desc,1,False,6,0.38210177421569824,0.3915412425994873,0.09326958656311035
asc,-1,True,6,0.39423489570617676,0.3991992473602295,0.09409308433532715
asc,1,False,6,0.3907601833343506,0.39842844009399414,0.08915519714355469
desc,-1,False,6,0.3975059986114502,0.40605998039245605,0.09345436096191406
desc,-1,True,6,0.3991067409515381,0.4135012626647949,0.09117865562438965
asc,-1,False,6,0.404677152633667,0.4154994487762451,0.09043693542480469
no_index,no_index,no_index,49,0.4000406265258789,0.17934250831604004,0.31318235397338867
asc,1,True,7,0.42589306831359863,0.19333219528198242,0.32088613510131836
desc,1,True,7,0.1914825439453125,0.40001416206359863,0.09485721588134766
desc,1,False,7,0.37970805168151855,0.394794225692749,0.09188008308410645
asc,-1,True,7,0.3877382278442383,0.4039771556854248,0.09132170677185059
asc,1,False,7,0.3819875717163086,0.3959920406341553,0.08751034736633301
desc,-1,False,7,0.39606738090515137,0.4024171829223633,0.08870387077331543
desc,-1,True,7,0.3964529037475586,0.40851306915283203,0.08961677551269531
asc,-1,False,7,0.3991658687591553,0.4191293716430664,0.08969497680664062
no_index,no_index,no_index,49,0.40104150772094727,0.17559504508972168,0.307736873626709
asc,1,True,8,0.4236571788787842,0.18752336502075195,0.32469630241394043
desc,1,True,8,0.19137287139892578,0.39856576919555664,0.09691095352172852
desc,1,False,8,0.38979196548461914,0.39310431480407715,0.08949613571166992
asc,-1,True,8,0.39954614639282227,0.4020965099334717,0.09229207038879395
asc,1,False,8,0.38427090644836426,0.39487624168395996,0.08768320083618164
desc,-1,False,8,0.39411187171936035,0.4053819179534912,0.08884358406066895
desc,-1,True,8,0.4010612964630127,0.4115934371948242,0.09103083610534668
asc,-1,False,8,0.3983876705169678,0.42704176902770996,0.09053277969360352
no_index,no_index,no_index,49,0.3983278274536133,0.17945480346679688,0.3059234619140625
asc,1,True,9,0.4227566719055176,0.18746423721313477,0.33142685890197754
desc,1,True,9,0.19371294975280762,0.40132689476013184,0.09856081008911133
desc,1,False,9,0.38143229484558105,0.391049861907959,0.09267449378967285
asc,-1,True,9,0.3900716304779053,0.40218210220336914,0.09240365028381348
asc,1,False,9,0.38897204399108887,0.4053466320037842,0.08982467651367188
desc,-1,False,9,0.39393019676208496,0.41165637969970703,0.08921694755554199
desc,-1,True,9,0.3959007263183594,0.4045596122741699,0.09140610694885254
asc,-1,False,9,0.39716172218322754,0.42128944396972656,0.09272575378417969
no_index,no_index,no_index,49,0.40262913703918457,0.17671990394592285,0.30817174911499023
asc,1,True,10,0.42642831802368164,0.18746209144592285,0.33217883110046387
desc,1,True,10,0.19526267051696777,0.40213632583618164,0.09631133079528809
desc,1,False,10,0.38837623596191406,0.3962669372558594,0.09344172477722168
asc,-1,True,10,0.38557004928588867,0.40140724182128906,0.09407281875610352
asc,1,False,10,0.38213610649108887,0.39232850074768066,0.09006595611572266
desc,-1,False,10,0.3963592052459717,0.4059610366821289,0.09366679191589355
desc,-1,True,10,0.40233588218688965,0.41238975524902344,0.09360456466674805
asc,-1,False,10,0.4060792922973633,0.4171264171600342,0.09579610824584961
no_index,no_index,no_index,49,0.4016597270965576,0.17541193962097168,0.30816650390625
asc,1,True,11,0.4215843677520752,0.18704843521118164,0.331683874130249
desc,1,True,11,0.19415712356567383,0.39981555938720703,0.09729337692260742
desc,1,False,11,0.38362908363342285,0.39261794090270996,0.09239983558654785
asc,-1,True,11,0.39002203941345215,0.40801501274108887,0.09245729446411133
asc,1,False,11,0.38228368759155273,0.396406888961792,0.08887147903442383
desc,-1,False,11,0.38880395889282227,0.39784765243530273,0.09456849098205566
desc,-1,True,11,0.39991259574890137,0.4104759693145752,0.09245872497558594
asc,-1,False,11,0.4037463665008545,0.42059993743896484,0.08978390693664551
no_index,no_index,no_index,49,0.4032859802246094,0.1740565299987793,0.3114509582519531
asc,1,True,12,0.42540788650512695,0.1862189769744873,0.3306543827056885
desc,1,True,12,0.1917874813079834,0.4048764705657959,0.09634232521057129
desc,1,False,12,0.3848557472229004,0.38942790031433105,0.08946752548217773
asc,-1,True,12,0.38655781745910645,0.40219783782958984,0.09299445152282715
asc,1,False,12,0.38208460807800293,0.39810729026794434,0.08942747116088867
desc,-1,False,12,0.39538002014160156,0.4028794765472412,0.0924224853515625
desc,-1,True,12,0.40532469749450684,0.40642261505126953,0.08960509300231934
asc,-1,False,12,0.3984100818634033,0.41562509536743164,0.09334301948547363
no_index,no_index,no_index,49,0.4065847396850586,0.1718275547027588,0.31195974349975586
asc,1,True,13,0.42376041412353516,0.1837146282196045,0.3250408172607422
desc,1,True,13,0.19144988059997559,0.40749406814575195,0.09852099418640137
desc,1,False,13,0.3827793598175049,0.39404749870300293,0.08943557739257812
asc,-1,True,13,0.39045143127441406,0.4089372158050537,0.09592604637145996
asc,1,False,13,0.37964606285095215,0.39493799209594727,0.09004592895507812
desc,-1,False,13,0.38573670387268066,0.39736318588256836,0.09249377250671387
desc,-1,True,13,0.4053769111633301,0.410830020904541,0.0961463451385498
asc,-1,False,13,0.39754176139831543,0.4223747253417969,0.0924532413482666
no_index,no_index,no_index,49,0.4023890495300293,0.17708611488342285,0.3120148181915283
asc,1,True,14,0.4238407611846924,0.18596482276916504,0.3293726444244385
desc,1,True,14,0.19035863876342773,0.39855384826660156,0.10050296783447266
desc,1,False,14,0.3762228488922119,0.3946554660797119,0.09328675270080566
asc,-1,True,14,0.3894200325012207,0.4015061855316162,0.09273004531860352
asc,1,False,14,0.3923768997192383,0.3943178653717041,0.09211945533752441
desc,-1,False,14,0.3911304473876953,0.4080042839050293,0.09386897087097168
desc,-1,True,14,0.4035983085632324,0.4093027114868164,0.09311270713806152
asc,-1,False,14,0.3979034423828125,0.41620850563049316,0.09060287475585938
no_index,no_index,no_index,49,0.40159034729003906,0.1741945743560791,0.3130152225494385
asc,1,True,15,0.42482852935791016,0.1882166862487793,0.3339719772338867
desc,1,True,15,0.1893160343170166,0.40254712104797363,0.09894442558288574
desc,1,False,15,0.39341163635253906,0.3946845531463623,0.09376001358032227
asc,-1,True,15,0.3853898048400879,0.39638328552246094,0.0920114517211914
asc,1,False,15,0.386502742767334,0.401644229888916,0.0912928581237793
desc,-1,False,15,0.3983571529388428,0.4068882465362549,0.09232759475708008
desc,-1,True,15,0.3960692882537842,0.4130089282989502,0.09571266174316406
asc,-1,False,15,0.39894890785217285,0.4213380813598633,0.09419441223144531
no_index,no_index,no_index,49,0.4010612964630127,0.17423772811889648,0.33083415031433105
asc,1,True,16,0.43227386474609375,0.18283367156982422,0.3279078006744385
desc,1,True,16,0.19002008438110352,0.39672279357910156,0.09956884384155273
desc,1,False,16,0.3925166130065918,0.3996598720550537,0.09395027160644531
asc,-1,True,16,0.39342546463012695,0.40064382553100586,0.09395766258239746
asc,1,False,16,0.3874518871307373,0.40282511711120605,0.09267449378967285
desc,-1,False,16,0.39671921730041504,0.40111398696899414,0.0927739143371582
desc,-1,True,16,0.4078981876373291,0.4152946472167969,0.0937960147857666
asc,-1,False,16,0.40497398376464844,0.42043209075927734,0.09266138076782227
no_index,no_index,no_index,49,0.4066445827484131,0.17102742195129395,0.3259553909301758
asc,1,True,17,0.4186058044433594,0.1852402687072754,0.33483195304870605
desc,1,True,17,0.1949937343597412,0.402529239654541,0.09774446487426758
desc,1,False,17,0.39876818656921387,0.3936901092529297,0.0917365550994873
asc,-1,True,17,0.38393688201904297,0.40000295639038086,0.09312224388122559
asc,1,False,17,0.39774203300476074,0.39836859703063965,0.09248089790344238
desc,-1,False,17,0.39754247665405273,0.40688252449035645,0.09516382217407227
desc,-1,True,17,0.3949007987976074,0.41628336906433105,0.09768795967102051
asc,-1,False,17,0.40303945541381836,0.41948986053466797,0.09431719779968262
no_index,no_index,no_index,49,0.40870118141174316,0.1704728603363037,0.3228180408477783
asc,1,True,18,0.42142319679260254,0.184647798538208,0.33681416511535645
desc,1,True,18,0.18697261810302734,0.40105295181274414,0.1012105941772461
desc,1,False,18,0.38550472259521484,0.402446985244751,0.09386301040649414
asc,-1,True,18,0.3870112895965576,0.40467405319213867,0.09436225891113281
asc,1,False,18,0.3841078281402588,0.40624213218688965,0.0919656753540039
desc,-1,False,18,0.39089083671569824,0.4007384777069092,0.09342074394226074
desc,-1,True,18,0.39817261695861816,0.4186415672302246,0.09798312187194824
asc,-1,False,18,0.4017186164855957,0.416226863861084,0.09244513511657715
no_index,no_index,no_index,49,0.4066288471221924,0.17214059829711914,0.31474947929382324
asc,1,True,19,0.43479156494140625,0.18120121955871582,0.3283390998840332
